,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15
0,0.45588234066963196,0.47598040103912354,0.47549018263816833,0.5156862735748291,0.5563725233078003,0.5573529601097107,0.5759803652763367,0.5779411792755127,0.5671568512916565,0.5730392336845398,0.6019607782363892,0.5789215564727783,0.5852941274642944,0.6083333492279053,0.6000000238418579
1,0.5656862854957581,0.5622549057006836,0.5676470398902893,0.6063725352287292,0.6122549176216125,0.6240196228027344,0.6284313797950745,0.6274510025978088,0.6132352948188782,0.6215686202049255,0.6446078419685364,0.6357843279838562,0.6382352709770203,0.6529411673545837,0.6446078419685364
2,0.6034313440322876,0.579901933670044,0.593137264251709,0.6303921341896057,0.6225489974021912,0.645588219165802,0.6490195989608765,0.636274516582489,0.6328431367874146,0.6387255191802979,0.6583333611488342,0.6514706015586853,0.6607843041419983,0.6490195989608765,0.6647058725357056
3,0.6225489974021912,0.5960784554481506,0.6161764860153198,0.6397058963775635,0.6470588445663452,0.6514706015586853,0.6676470637321472,0.6651960611343384,0.6524509787559509,0.6656862497329712,0.6696078181266785,0.6720588207244873,0.6769607663154602,0.6715686321258545,0.6813725233078003
4,0.6313725709915161,0.6083333492279053,0.6387255191802979,0.6602941155433655,0.6509804129600525,0.6607843041419983,0.6813725233078003,0.6671568751335144,0.6710784435272217,0.6735293865203857,0.6872549057006836,0.6960784196853638,0.6990196108818054,0.7009803652763367,0.7034313678741455
5,0.6460784077644348,0.6210784316062927,0.6519607901573181,0.6661764979362488,0.6691176295280457,0.6764705777168274,0.7039215564727783,0.6848039031028748,0.6877450942993164,0.677450954914093,0.6960784196853638,0.6946078538894653,0.6892156600952148,0.7073529362678528,0.7083333134651184
6,0.6450980305671692,0.6323529481887817,0.6583333611488342,0.6651960611343384,0.679411768913269,0.6754902005195618,0.697549045085907,0.6946078538894653,0.7044117450714111,0.7073529362678528,0.7112745046615601,0.7132353186607361,0.7200980186462402,0.7093137502670288,0.7269607782363892
7,0.6573529243469238,0.6465686559677124,0.6754902005195618,0.6710784435272217,0.6789215803146362,0.6833333373069763,0.7053921818733215,0.6995097994804382,0.7151960730552673,0.7147058844566345,0.7009803652763367,0.7215686440467834,0.727450966835022,0.7250000238418579,0.7431372404098511
8,0.6509804129600525,0.6529411673545837,0.6838235259056091,0.6779412031173706,0.6911764740943909,0.6867647171020508,0.7142156958580017,0.7142156958580017,0.716176450252533,0.7210784554481506,0.7240195870399475,0.7333333492279053,0.7186274528503418,0.7308823466300964,0.7372549176216125
9,0.6539215445518494,0.658823549747467,0.6877450942993164,0.688725471496582,0.6970587968826294,0.7044117450714111,0.7225490212440491,0.718137264251709,0.7254902124404907,0.7279411554336548,0.7098039388656616,0.740686297416687,0.7289215922355652,0.740686297416687,0.7504901885986328
10,0.6710784435272217,0.6710784435272217,0.6941176652908325,0.6936274766921997,0.697549045085907,0.7093137502670288,0.7421568632125854,0.7240195870399475,0.7323529124259949,0.7352941036224365,0.7279411554336548,0.7392156720161438,0.7460784316062927,0.7455882430076599,0.7504901885986328
11,0.677450954914093,0.6838235259056091,0.6813725233078003,0.6985294222831726,0.7029411792755127,0.7083333134651184,0.7367647290229797,0.7220588326454163,0.7333333492279053,0.7392156720161438,0.7308823466300964,0.7583333253860474,0.7465686202049255,0.7455882430076599,0.770588219165802
12,0.6897059082984924,0.6818627715110779,0.6892156600952148,0.7004901766777039,0.7044117450714111,0.7029411792755127,0.7338235378265381,0.7289215922355652,0.7352941036224365,0.7455882430076599,0.7313725352287292,0.7524510025978088,0.761274516582489,0.7583333253860474,0.7730392217636108
13,0.6852940917015076,0.6848039031028748,0.6960784196853638,0.6965686082839966,0.7147058844566345,0.7132353186607361,0.7421568632125854,0.7367647290229797,0.7421568632125854,0.75,0.7426470518112183,0.7656862735748291,0.7617647051811218,0.7627450823783875,0.7720588445663452
14,0.6892156600952148,0.6901960968971252,0.704901933670044,0.7088235020637512,0.716176450252533,0.7240195870399475,0.7509803771972656,0.7431372404098511,0.7357842922210693,0.748039186000824,0.7455882430076599,0.7622548937797546,0.7460784316062927,0.7622548937797546,0.7754902243614197
15,0.6901960968971252,0.6872549057006836,0.7117646932601929,0.7117646932601929,0.7127450704574585,0.7220588326454163,0.7529411911964417,0.7495098114013672,0.7436274290084839,0.7549019455909729,0.7490196228027344,0.7745097875595093,0.7544117569923401,0.7686274647712708,0.781862735748291
16,0.6911764740943909,0.6916666626930237,0.7004901766777039,0.7117646932601929,0.7299019694328308,0.7245097756385803,0.7568627595901489,0.7495098114013672,0.7495098114013672,0.7583333253860474,0.7632352709770203,0.7813725471496582,0.7681372761726379,0.7745097875595093,0.7843137383460999
17,0.6985294222831726,0.6843137145042419,0.7073529362678528,0.7132353186607361,0.7313725352287292,0.7289215922355652,0.7578431367874146,0.7598039507865906,0.7426470518112183,0.7715686559677124,0.7578431367874146,0.7823529243469238,0.7735294103622437,0.7803921699523926,0.7749999761581421
18,0.6897059082984924,0.6916666626930237,0.7107843160629272,0.7151960730552673,0.7225490212440491,0.7362744808197021,0.7598039507865906,0.761274516582489,0.748039186000824,0.7749999761581421,0.7686274647712708,0.7749999761581421,0.7745097875595093,0.7774509787559509,0.7936274409294128
19,0.6960784196853638,0.695588231086731,0.70686274766922,0.718137264251709,0.7377451062202454,0.7318627238273621,0.7617647051811218,0.7661764621734619,0.7534313797950745,0.7784313559532166,0.7715686559677124,0.7823529243469238,0.7813725471496582,0.7833333611488342,0.7897058725357056
20,0.7009803652763367,0.6985294222831726,0.7112745046615601,0.7240195870399475,0.7431372404098511,0.7348039150238037,0.7696078419685364,0.7769607901573181,0.7549019455909729,0.770588219165802,0.7764706015586853,0.7897058725357056,0.783823549747467,0.7872549295425415,0.7955882549285889
21,0.6990196108818054,0.7024509906768799,0.7225490212440491,0.720588207244873,0.7367647290229797,0.7372549176216125,0.770588219165802,0.7686274647712708,0.7622548937797546,0.7715686559677124,0.7754902243614197,0.7921568751335144,0.7852941155433655,0.7911764979362488,0.79313725233078
22,0.7019608020782471,0.6965686082839966,0.7186274528503418,0.7250000238418579,0.7372549176216125,0.7416666746139526,0.772549033164978,0.7784313559532166,0.7583333253860474,0.783823549747467,0.7740195989608765,0.7843137383460999,0.7892156839370728,0.7906862497329712,0.8009803891181946
23,0.7029411792755127,0.6980392336845398,0.7240195870399475,0.7264705896377563,0.7411764860153198,0.7465686202049255,0.7735294103622437,0.7813725471496582,0.7696078419685364,0.7813725471496582,0.7808823585510254,0.8029412031173706,0.7946078181266785,0.7877451181411743,0.7955882549285889
24,0.7029411792755127,0.6990196108818054,0.7240195870399475,0.7338235378265381,0.7460784316062927,0.7465686202049255,0.7710784077644348,0.7862744927406311,0.748039186000824,0.7872549295425415,0.779411792755127,0.8019607663154602,0.795098066329956,0.8014705777168274,0.7980391979217529
25,0.6950980424880981,0.6980392336845398,0.727450966835022,0.7313725352287292,0.7485294342041016,0.7544117569923401,0.779411792755127,0.7823529243469238,0.7617647051811218,0.7887254953384399,0.7877451181411743,0.800000011920929,0.7955882549285889,0.7980391979217529,0.8049019575119019
26,0.7058823704719543,0.704901933670044,0.7235293984413147,0.7348039150238037,0.7460784316062927,0.7490196228027344,0.7784313559532166,0.7799019813537598,0.7607843279838562,0.7906862497329712,0.7813725471496582,0.8039215803146362,0.8009803891181946,0.795098066329956,0.7995098233222961
27,0.7083333134651184,0.7034313678741455,0.7308823466300964,0.740686297416687,0.7534313797950745,0.7539215683937073,0.779411792755127,0.7916666865348816,0.7666666507720947,0.7867646813392639,0.7823529243469238,0.7980391979217529,0.8029412031173706,0.8053921461105347,0.800000011920929
28,0.7019608020782471,0.7107843160629272,0.7284313440322876,0.7362744808197021,0.7465686202049255,0.7558823823928833,0.7759804129600525,0.79313725233078,0.7656862735748291,0.7887254953384399,0.7911764979362488,0.8049019575119019,0.7990196347236633,0.8053921461105347,0.8176470398902893
29,0.7053921818733215,0.7098039388656616,0.7245097756385803,0.7377451062202454,0.7529411911964417,0.7568627595901489,0.781862735748291,0.7926470637321472,0.7754902243614197,0.7985293865203857,0.795098066329956,0.8068627715110779,0.811274528503418,0.7946078181266785,0.811274528503418
30,0.7063725590705872,0.7112745046615601,0.7362744808197021,0.7460784316062927,0.7549019455909729,0.7602941393852234,0.7803921699523926,0.7926470637321472,0.7730392217636108,0.7965686321258545,0.7916666865348816,0.8053921461105347,0.8063725233078003,0.8132352828979492,0.8078431487083435
31,0.7151960730552673,0.7156862616539001,0.7343137264251709,0.7421568632125854,0.7534313797950745,0.7642157077789307,0.7803921699523926,0.7955882549285889,0.7749999761581421,0.7921568751335144,0.7926470637321472,0.8088235259056091,0.8176470398902893,0.8078431487083435,0.8107843399047852
32,0.7088235020637512,0.7186274528503418,0.7357842922210693,0.7470588088035583,0.7490196228027344,0.7617647051811218,0.7843137383460999,0.7970588207244873,0.7848039269447327,0.8009803891181946,0.7960784435272217,0.8014705777168274,0.8186274766921997,0.8127450942993164,0.8166666626930237
33,0.7171568870544434,0.7200980186462402,0.7333333492279053,0.7553921341896057,0.759313702583313,0.7642157077789307,0.7759804129600525,0.8014705777168274,0.7808823585510254,0.8093137145042419,0.7955882549285889,0.8098039031028748,0.8098039031028748,0.8151960968971252,0.8093137145042419
34,0.7122548818588257,0.718137264251709,0.7352941036224365,0.7549019455909729,0.7647058963775635,0.7700980305671692,0.7799019813537598,0.7985293865203857,0.7862744927406311,0.7946078181266785,0.8053921461105347,0.811274528503418,0.8142156600952148,0.8196078538894653,0.8200980424880981
35,0.7122548818588257,0.720588207244873,0.7367647290229797,0.759313702583313,0.759313702583313,0.7764706015586853,0.7960784435272217,0.802450954914093,0.7813725471496582,0.8014705777168274,0.8083333373069763,0.8171568512916565,0.8127450942993164,0.8323529362678528,0.8102940917015076
36,0.716176450252533,0.7176470756530762,0.740686297416687,0.7446078658103943,0.7671568393707275,0.7661764621734619,0.7901960611343384,0.804411768913269,0.783823549747467,0.7980391979217529,0.8019607663154602,0.8161764740943909,0.8151960968971252,0.8269608020782471,0.8156862854957581
37,0.7117646932601929,0.7196078300476074,0.7328431606292725,0.7534313797950745,0.7647058963775635,0.7671568393707275,0.7901960611343384,0.8053921461105347,0.7784313559532166,0.7921568751335144,0.8127450942993164,0.8156862854957581,0.820588231086731,0.8215686082839966,0.8171568512916565
38,0.7132353186607361,0.7254902124404907,0.7455882430076599,0.7495098114013672,0.7696078419685364,0.772549033164978,0.7906862497329712,0.8034313917160034,0.7808823585510254,0.7980391979217529,0.8093137145042419,0.8156862854957581,0.8132352828979492,0.8269608020782471,0.820588231086731
39,0.7137255072593689,0.7299019694328308,0.7460784316062927,0.7578431367874146,0.7607843279838562,0.7735294103622437,0.7872549295425415,0.8034313917160034,0.7843137383460999,0.8004902005195618,0.811274528503418,0.8127450942993164,0.8235294222831726,0.8254901766777039,0.8142156600952148
40,0.7132353186607361,0.7259804010391235,0.7465686202049255,0.7573529481887817,0.7745097875595093,0.7720588445663452,0.7926470637321472,0.800000011920929,0.7946078181266785,0.811274528503418,0.8098039031028748,0.8161764740943909,0.8303921818733215,0.8289215564727783,0.8210784196853638
41,0.7210784554481506,0.7323529124259949,0.751960813999176,0.7651960849761963,0.7651960849761963,0.7774509787559509,0.7946078181266785,0.802450954914093,0.7911764979362488,0.7990196347236633,0.811274528503418,0.8186274766921997,0.822549045085907,0.8387255072593689,0.8220587968826294
42,0.718137264251709,0.7289215922355652,0.7416666746139526,0.761274516582489,0.7666666507720947,0.7803921699523926,0.7946078181266785,0.8053921461105347,0.7926470637321472,0.7995098233222961,0.8093137145042419,0.8245097994804382,0.8269608020782471,0.8264706134796143,0.8245097994804382
43,0.7215686440467834,0.7240195870399475,0.7573529481887817,0.7602941393852234,0.7759804129600525,0.7789215445518494,0.7980391979217529,0.802450954914093,0.7921568751335144,0.7975490093231201,0.8186274766921997,0.8200980424880981,0.8235294222831726,0.8401960730552673,0.8289215564727783
44,0.7200980186462402,0.7235293984413147,0.7509803771972656,0.7598039507865906,0.7691176533699036,0.7730392217636108,0.7995098233222961,0.8063725233078003,0.795098066329956,0.8122549057006836,0.8068627715110779,0.8200980424880981,0.824999988079071,0.8367646932601929,0.8303921818733215
45,0.7230392098426819,0.7210784554481506,0.7485294342041016,0.7656862735748291,0.7700980305671692,0.7769607901573181,0.7941176295280457,0.7985293865203857,0.7906862497329712,0.8068627715110779,0.820588231086731,0.8308823704719543,0.8245097994804382,0.8338235020637512,0.83186274766922
46,0.7151960730552673,0.7338235378265381,0.7553921341896057,0.7651960849761963,0.7759804129600525,0.7769607901573181,0.7965686321258545,0.8068627715110779,0.7877451181411743,0.8102940917015076,0.820588231086731,0.8230392336845398,0.8397058844566345,0.8328431248664856,0.8279411792755127
47,0.720588207244873,0.7259804010391235,0.7509803771972656,0.7647058963775635,0.772549033164978,0.7740195989608765,0.795098066329956,0.8073529601097107,0.7906862497329712,0.8088235259056091,0.8151960968971252,0.820588231086731,0.8294117450714111,0.8289215564727783,0.8215686082839966
48,0.7200980186462402,0.7250000238418579,0.75,0.7647058963775635,0.7696078419685364,0.7803921699523926,0.8029412031173706,0.8107843399047852,0.7975490093231201,0.8068627715110779,0.8215686082839966,0.8254901766777039,0.8333333134651184,0.8333333134651184,0.8156862854957581
49,0.7220588326454163,0.7333333492279053,0.7455882430076599,0.7607843279838562,0.7779411673545837,0.7789215445518494,0.7990196347236633,0.811274528503418,0.7901960611343384,0.8176470398902893,0.8294117450714111,0.8294117450714111,0.8397058844566345,0.8406862616539001,0.8274509906768799
50,0.7151960730552673,0.7313725352287292,0.7568627595901489,0.7632352709770203,0.7749999761581421,0.7749999761581421,0.8014705777168274,0.8093137145042419,0.7897058725357056,0.8147059082984924,0.8191176652908325,0.8196078538894653,0.8392156958580017,0.8426470756530762,0.8269608020782471
51,0.729411780834198,0.7328431606292725,0.7588235139846802,0.7666666507720947,0.7730392217636108,0.7848039269447327,0.8039215803146362,0.8098039031028748,0.8014705777168274,0.8142156600952148,0.8235294222831726,0.8289215564727783,0.8382353186607361,0.8436274528503418,0.8254901766777039
52,0.7250000238418579,0.7338235378265381,0.7602941393852234,0.7622548937797546,0.7715686559677124,0.7740195989608765,0.7985293865203857,0.8058823347091675,0.7936274409294128,0.8147059082984924,0.8245097994804382,0.8264706134796143,0.8362745046615601,0.8397058844566345,0.820588231086731
53,0.7245097756385803,0.7357842922210693,0.761274516582489,0.7671568393707275,0.7720588445663452,0.7882353067398071,0.7975490093231201,0.8078431487083435,0.8019607663154602,0.8215686082839966,0.8235294222831726,0.8284313678741455,0.8387255072593689,0.8367646932601929,0.8323529362678528
54,0.7279411554336548,0.7362744808197021,0.7602941393852234,0.7691176533699036,0.7813725471496582,0.7823529243469238,0.7995098233222961,0.8034313917160034,0.8093137145042419,0.8200980424880981,0.8230392336845398,0.8357843160629272,0.8338235020637512,0.8450980186462402,0.8392156958580017
55,0.7245097756385803,0.7367647290229797,0.7578431367874146,0.7661764621734619,0.7779411673545837,0.7852941155433655,0.7995098233222961,0.8142156600952148,0.8053921461105347,0.8171568512916565,0.824999988079071,0.8289215564727783,0.8436274528503418,0.8357843160629272,0.8382353186607361
56,0.7230392098426819,0.7357842922210693,0.7568627595901489,0.7715686559677124,0.7803921699523926,0.7887254953384399,0.7965686321258545,0.8078431487083435,0.8014705777168274,0.8186274766921997,0.824999988079071,0.8348039388656616,0.8362745046615601,0.8465686440467834,0.8397058844566345
57,0.7250000238418579,0.7382352948188782,0.7651960849761963,0.770588219165802,0.7710784077644348,0.781862735748291,0.8068627715110779,0.8122549057006836,0.8117647171020508,0.8156862854957581,0.83186274766922,0.8279411792755127,0.8460784554481506,0.8372548818588257,0.8397058844566345
58,0.7299019694328308,0.7323529124259949,0.7607843279838562,0.772549033164978,0.7779411673545837,0.781862735748291,0.8098039031028748,0.8122549057006836,0.8058823347091675,0.8171568512916565,0.8254901766777039,0.8308823704719543,0.8416666388511658,0.8392156958580017,0.8357843160629272
59,0.7343137264251709,0.7441176176071167,0.7617647051811218,0.770588219165802,0.7813725471496582,0.783823549747467,0.7995098233222961,0.8127450942993164,0.802450954914093,0.8289215564727783,0.8284313678741455,0.8294117450714111,0.841176450252533,0.8495097756385803,0.8313725590705872
60,0.7289215922355652,0.729411780834198,0.7573529481887817,0.7720588445663452,0.7799019813537598,0.7799019813537598,0.7980391979217529,0.8122549057006836,0.8034313917160034,0.8156862854957581,0.8264706134796143,0.8279411792755127,0.8504902124404907,0.8426470756530762,0.8362745046615601
61,0.7328431606292725,0.7416666746139526,0.7573529481887817,0.7696078419685364,0.7857843041419983,0.7877451181411743,0.8053921461105347,0.813725471496582,0.7941176295280457,0.8254901766777039,0.8333333134651184,0.8352941274642944,0.8357843160629272,0.841176450252533,0.8460784554481506
62,0.7308823466300964,0.7401960492134094,0.7617647051811218,0.7754902243614197,0.7848039269447327,0.7877451181411743,0.7990196347236633,0.8098039031028748,0.8102940917015076,0.8200980424880981,0.8313725590705872,0.83186274766922,0.8426470756530762,0.8401960730552673,0.8343137502670288
63,0.7289215922355652,0.7401960492134094,0.759313702583313,0.7730392217636108,0.779411792755127,0.7882353067398071,0.8039215803146362,0.8039215803146362,0.8122549057006836,0.8274509906768799,0.8181372284889221,0.8338235020637512,0.8450980186462402,0.8377450704574585,0.8441176414489746
64,0.7323529124259949,0.7490196228027344,0.7647058963775635,0.7764706015586853,0.7848039269447327,0.7803921699523926,0.8117647171020508,0.8147059082984924,0.8088235259056091,0.8264706134796143,0.8323529362678528,0.83186274766922,0.8539215922355652,0.845588207244873,0.8284313678741455
65,0.7367647290229797,0.7416666746139526,0.7700980305671692,0.7769607901573181,0.7813725471496582,0.795098066329956,0.8049019575119019,0.8196078538894653,0.8147059082984924,0.8254901766777039,0.8254901766777039,0.8441176414489746,0.8441176414489746,0.843137264251709,0.8377450704574585
66,0.7367647290229797,0.7357842922210693,0.7671568393707275,0.7735294103622437,0.7848039269447327,0.7779411673545837,0.8171568512916565,0.8210784196853638,0.8083333373069763,0.8269608020782471,0.8220587968826294,0.8362745046615601,0.8470588326454163,0.8514705896377563,0.8284313678741455
67,0.7343137264251709,0.740686297416687,0.7637255191802979,0.7774509787559509,0.7740195989608765,0.7906862497329712,0.8049019575119019,0.820588231086731,0.8127450942993164,0.8210784196853638,0.83186274766922,0.8460784554481506,0.8563725352287292,0.8470588326454163,0.8446078300476074
68,0.7352941036224365,0.7460784316062927,0.7637255191802979,0.7779411673545837,0.7892156839370728,0.7906862497329712,0.7995098233222961,0.8254901766777039,0.8156862854957581,0.8259803652763367,0.8308823704719543,0.8387255072593689,0.8500000238418579,0.8465686440467834,0.8333333134651184
69,0.7401960492134094,0.7470588088035583,0.7710784077644348,0.7789215445518494,0.7813725471496582,0.7892156839370728,0.7921568751335144,0.820588231086731,0.8127450942993164,0.824999988079071,0.8401960730552673,0.8426470756530762,0.8485293984413147,0.8475490212440491,0.8426470756530762
70,0.7401960492134094,0.7539215683937073,0.7647058963775635,0.7759804129600525,0.7823529243469238,0.7980391979217529,0.8142156600952148,0.8230392336845398,0.8181372284889221,0.8308823704719543,0.8333333134651184,0.8406862616539001,0.8514705896377563,0.8509804010391235,0.8392156958580017
71,0.7362744808197021,0.7460784316062927,0.7607843279838562,0.7774509787559509,0.7862744927406311,0.7926470637321472,0.8004902005195618,0.8220587968826294,0.811274528503418,0.8240196108818054,0.8323529362678528,0.8392156958580017,0.8480392098426819,0.8519607782363892,0.8500000238418579
72,0.7411764860153198,0.7509803771972656,0.7617647051811218,0.7749999761581421,0.7857843041419983,0.7921568751335144,0.8122549057006836,0.8245097994804382,0.8117647171020508,0.8269608020782471,0.8328431248664856,0.8436274528503418,0.8490195870399475,0.8509804010391235,0.8401960730552673
73,0.7421568632125854,0.7475489974021912,0.7651960849761963,0.7754902243614197,0.7872549295425415,0.7906862497329712,0.8107843399047852,0.8191176652908325,0.813725471496582,0.8343137502670288,0.8372548818588257,0.843137264251709,0.8372548818588257,0.843137264251709,0.841176450252533
